TITLE,CONFERENCE,GITHUB,AWARDS
SuperFans,ETHGlobal Istanbul,https://github.com/xentoshi/chilizsuperfans,Pool Prize
Crosschain Dapps,ETHGlobal Istanbul,https://github.com/qi-protocol/eth-ist-,Pool Prize
People First,ETHGlobal Istanbul,https://github.com/robertojvs/People-first,Pool Prize
DonAAtion,ETHGlobal Istanbul,https://github.com/a42x/ETHGlobalIstanbul-2023,Pool Prize
secureDEX,ETHGlobal Istanbul,https://github.com/valeriofichera/secureDEX,Pool Prize
Autogov,ETHGlobal Istanbul,https://github.com/tkeith/autogov,🥉 1inch — Open Track
Private Token Rollup,ETHGlobal Istanbul,https://github.com/rpalakkal/aleo-sovereign-rollup,🥇 Best Project
Swirl,ETHGlobal Istanbul,https://github.com/SBerkeB/Hackathon,Deploy on Scroll
zkHub,ETHGlobal Istanbul,https://github.com/BilkentCrypto/istanmeow,Innovation Pool Prize
VerifyWorld,ETHGlobal Istanbul,https://github.com/huseyin-lora/hackaton-frontend,Pool Prize
Merhaba DAO,ETHGlobal Istanbul,https://github.com/Akhil-2310/EthGlobal-Istanbul,Innovation Pool Prize
Shamixx,ETHGlobal Istanbul,https://github.com/SharmilaChoudhary/Ethistanbul,Pool Prize
Uni-Suave intents,ETHGlobal Istanbul,https://github.com/KRD-Kai/unisuave-intent,Best Intent UniSUAVE Design and PoC
myDMentor,ETHGlobal Istanbul,https://github.com/helinakdogan/myDMentor,Pool Prize
MetaTune,ETHGlobal Istanbul,https://github.com/Sterioboy/metatune-app,Pool Prize
meETH Domain Service,ETHGlobal Istanbul,https://github.com/itublockchain/ethistanbul-harberger,Pool Prize
Go Nouns 🤌,ETHGlobal Istanbul,https://github.com/Koushith/ZuckHunt,Best game or marketplace using Waku
Cult3,ETHGlobal Istanbul,https://github.com/namn-grg/istanbul-hack,Deploy on Scroll
LendingZK,ETHGlobal Istanbul,https://github.com/luckyyang/email-lending-contracts,Integrate a Chronicle Oracle
DeCarbTracker,ETHGlobal Istanbul,https://github.com/Pseud0n1nja/DeCarbTracker,Pool Prize
Starkard,ETHGlobal Istanbul,https://github.com/0xstarkard/cairo-contracts,3rd Place
BetChiliz,ETHGlobal Istanbul,https://github.com/bharathbabu68/ethistanbul-hack,1st Place
SpyderScan,ETHGlobal Istanbul,https://github.com/muskbuster/spyderscan,Pool Prize
merhaba-wallet,ETHGlobal Istanbul,https://github.com/princerajcs/merhaba-wallet,Best dApp utilizing Account Abstraction or SocialConnect on Celo
Pixel,ETHGlobal Istanbul,https://github.com/cypher-eth/pixel,Turkish Ice Cream - Creative Bounty
AztecSnap,ETHGlobal Istanbul,https://github.com/porco-rosso-j/aztec-snap,Best overall developer tool for the Noir ecosystem
Lens & Frens,ETHGlobal Istanbul,https://github.com/publu/lenspass,2nd Place
Proovie,ETHGlobal Istanbul,https://github.com/blockchainDEU/Proovie,Pool Prize
Solitaire-NFT,ETHGlobal Istanbul,https://github.com/ElAbel0990/Solitaire-NFT,Pool Prize
WaiterX,ETHGlobal Istanbul,https://github.com/Magicred-1/WaiterX,Innovation Pool Prize
DeflateWallet,ETHGlobal Istanbul,https://github.com/meetmangukiya/arb-deflate,Runner-up
DairyNinja,ETHGlobal Istanbul,https://github.com/onchainification/dairy_ninja,Integrate a Chronicle Oracle
Secret Fans,ETHGlobal Istanbul,https://github.com/secretfans-eth/secretfans,Deploy on Scroll
UniCycle,ETHGlobal Istanbul,https://github.com/avdheshcharjan/UniCycle,Pool Prize
zKeeper,ETHGlobal Istanbul,https://github.com/0x471/zkeeper,1st Place
Turkish Cat,ETHGlobal Istanbul,https://github.com/aviral10x/turkish-cat,Pool Prize
Adventure Runner,ETHGlobal Istanbul,https://github.com/AyushBherwani1998/eth_global_istanbul,2nd Place
YADEX-Yet AnotherDEX,ETHGlobal Istanbul,https://github.com/metoinside/yadex,Pool Prize
PixelPals,ETHGlobal Istanbul,https://github.com/Abhay-2811/PixelPals,🥇 API3 — Best use of API3 QRNG
FeFe,ETHGlobal Istanbul,https://github.com/therealbytes/fefe,🏆 Ethereum Foundation - Build with Fe
LockerSwap,ETHGlobal Istanbul,https://github.com/AdamDah/LockerSwap/blob/main/LockerSwap_Demo.mp4,Pool Prize
CowssChain,ETHGlobal Istanbul,https://github.com/orgs/CowssSwap,🎼 Hyperlane — 2nd Best Interchain App
Trippy,ETHGlobal Istanbul,https://github.com/0xNoSignal/trippy,Innovation Pool Prize
WalletWrapper,ETHGlobal Istanbul,https://github.com/Morte-Bianca/EthGlobal,Pool Prize
CBN,ETHGlobal Istanbul,https://github.com/tibi77/CBN-project-eth,Pool Prize
Wysdom,ETHGlobal Istanbul,https://github.com/Wysdom-xyz/wysdom-xyz,Deploy on Scroll
HomoSapienSays,ETHGlobal Istanbul,https://github.com/hm0429/ethist,Honorable Mentions
Clade Club,ETHGlobal Istanbul,https://github.com/clade-club,Innovation Pool Prize
ChainedHabits,ETHGlobal Istanbul,https://github.com/o-wb/chainedhabits,🏃 Cartesi — Runner Up
TravelApp,ETHGlobal Istanbul,https://github.com/rafa-canseco/ist-hackaton,Deploy on Scroll
TheLastLands.com,ETHGlobal Istanbul,https://github.com/Float-Capital/last-lands,Deploy on Scroll
Open Gate,ETHGlobal Istanbul,https://github.com/ismail9k/open-gate,🏊 Filecoin — Pool Prize
N-hub,ETHGlobal Istanbul,https://github.com/bianc8/N-hub,Innovation Pool Prize
ApeFit,ETHGlobal Istanbul,https://github.com/Nazeeh21/ethglobal-istanbul,Innovation Pool Prize
ActionForge,ETHGlobal Istanbul,https://github.com/action-forge/protocol,Deploy on Scroll
ChilizJackpotPool,ETHGlobal Istanbul,https://github.com/mxber2022/Chiliz,Pool Prize
zkCollector,ETHGlobal Istanbul,https://github.com/zemse/zk-collector,🏅 4th Place
Vitalik's Secret,ETHGlobal Istanbul,https://github.com/wighawag/vitalik-secret/,Pool Prize
Rexo,ETHGlobal Istanbul,https://github.com/naelob/rex-rating-frontend/,Best Governance App
Dauth,ETHGlobal Istanbul,https://meisamtaher.github.io/session-wallet/,Pool Prize
NFTFI Conduit,ETHGlobal Istanbul,https://github.com/ziyincody/Dai-NFTFI-Conduit,Pool Prize
TR8,ETHGlobal Istanbul,https://github.com/hebx/tr8-contracts,Pool Prize
swirlio,ETHGlobal Istanbul,https://github.com/alikonuk1/swirlio,Pool Prize
WorldBoat,ETHGlobal Istanbul,https://github.com/EcoAccountable/ecoaccountable-contracts,Pool Prize
